,CountryName,CountryCode,RegionName,RegionCode,Jurisdiction,Date,C1_School closing,C1_Flag,C1_Notes,C2_Workplace closing,C2_Flag,C2_Notes,C3_Cancel public events,C3_Flag,C3_Notes,C4_Restrictions on gatherings,C4_Flag,C4_Notes,C5_Close public transport,C5_Flag,C5_Notes,C6_Stay at home requirements,C6_Flag,C6_Notes,C7_Restrictions on internal movement,C7_Flag,C7_Notes,C8_International travel controls,C8_Notes,E1_Income support,E1_Flag,E1_Notes,E2_Debt/contract relief,E2_Notes,E3_Fiscal measures,E3_Notes,E4_International support,E4_Notes,H1_Public information campaigns,H1_Flag,H1_Notes,H2_Testing policy,H2_Notes,H3_Contact tracing,H3_Notes,H4_Emergency investment in healthcare,H4_Notes,H5_Investment in vaccines,H5_Notes,H6_Facial Coverings,H6_Flag,H6_Notes,H7_Vaccination policy,H7_Flag,H7_Notes,H8_Protection of elderly people,H8_Flag,H8_Notes,M1_Wildcard,M1_Notes,V1_Vaccine Prioritisation (summary),V1_Notes,V2A_Vaccine Availability (summary),V2_Notes,V2B_Vaccine age eligibility/availability age floor (general population summary),V2C_Vaccine age eligibility/availability age floor (at risk summary),V2D_Medically/ clinically vulnerable (Non-elderly),V2E_Education,V2F_Frontline workers  (non healthcare),V2G_Frontline workers  (healthcare),V3_Vaccine Financial Support (summary),V3_Notes,V4_Mandatory Vaccination (summary),V4_Notes,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,StringencyLegacyIndex,StringencyLegacyIndexForDisplay,GovernmentResponseIndex,GovernmentResponseIndexForDisplay,ContainmentHealthIndex,ContainmentHealthIndexForDisplay,EconomicSupportIndex,EconomicSupportIndexForDisplay
51100,United Kingdom,GBR,,,NAT_TOTAL,20210101,3.0,0.0,,3.0,0.0,,2.0,1.0,,4.0,1.0,,1.0,1.0,,2.0,0.0,,2.0,0.0,,3.0,,2.0,1.0,,2.0,,0.0,,0.0,,2.0,1.0,,2.0,,1.0,,0.0,,0.0,,3.0,1.0,,3.0,1.0,,3.0,1.0,,,,1.0,,1.0,,80+ yrs,80+ yrs,0.0,0.0,0.0,2.0,5.0,,,,2542065.0,74125.0,79.63,79.63,79.76,79.76,79.27,79.27,76.31,76.31,100.0,100.0
51101,United Kingdom,GBR,,,NAT_TOTAL,20210102,3.0,0.0,,3.0,0.0,,2.0,1.0,,4.0,1.0,,1.0,1.0,,2.0,0.0,,2.0,0.0,,3.0,,2.0,1.0,,2.0,,0.0,,0.0,,2.0,1.0,,2.0,,1.0,,0.0,,0.0,,3.0,1.0,,3.0,1.0,,3.0,1.0,,,,1.0,,1.0,,80+ yrs,80+ yrs,0.0,0.0,0.0,2.0,5.0,,,,2599789.0,74570.0,79.63,79.63,79.76,79.76,79.27,79.27,76.31,76.31,100.0,100.0
51102,United Kingdom,GBR,,,NAT_TOTAL,20210103,3.0,0.0,,3.0,0.0,,2.0,1.0,,4.0,1.0,,1.0,1.0,,2.0,0.0,,2.0,0.0,,3.0,,2.0,1.0,,2.0,,0.0,,0.0,,2.0,1.0,,2.0,,1.0,,0.0,,0.0,,3.0,1.0,,3.0,1.0,,3.0,1.0,,,,1.0,,1.0,,80+ yrs,80+ yrs,0.0,0.0,0.0,2.0,5.0,,,,2654779.0,75024.0,79.63,79.63,79.76,79.76,79.27,79.27,76.31,76.31,100.0,100.0
51103,United Kingdom,GBR,,,NAT_TOTAL,20210104,3.0,0.0,"In Northern Ireland:    Schools are to remain closed for an extended period as the Stormont executive agreed new measures this evening to tackle the spread of Covid-19.    Deputy First Minister Michelle O'Neill said pupils will not be returning to classrooms on Monday January 11 as was originally intended.    Northern Ireland's 3 universities- Queen's Belfast, Ulster, and St Mary's seem to have closed campuses- see Queen's twitter post with FAQs for 'when to return to campus', indicating this is not yet occurring.      https://web.archive.org/web/20210106133036/https://www.irishnews.com/news/northernirelandnews/2021/01/04/news/covid-19-schools-closed-for-extended-period-as-northern-ireland-in-dire-situation--2177581/    https://web.archive.org/web/20210106133241/https://www.nidirect.gov.uk/articles/coronavirus-covid-19-advice-schools-colleges-and-universities    https://web.archive.org/web/20210106134210/https://twitter.com/QUBelfast/status/1346562116497649664      In England: government guidance for universities is: 'Universities- Those students who are undertaking training and study for the specific courses should return to face to face learning as planned and be tested twice, upon arrival or self-isolate for ten days https://web.archive.org/web/20210106100514/https://www.gov.uk/guidance/national-lockdown-stay-at-home'. As our codebook describes, the C1 indicator records closing of schools and universities, so this does not close universities, and therefore does not warrant a 3 code. ",3.0,0.0,,2.0,1.0,,4.0,1.0,,1.0,1.0,,2.0,0.0,,2.0,0.0,,3.0,,2.0,1.0,,2.0,,0.0,,0.0,,2.0,1.0,,2.0,,1.0,,0.0,,0.0,,3.0,1.0,,3.0,1.0,,3.0,1.0,,,,1.0,,1.0,,80+ yrs,80+ yrs,0.0,0.0,0.0,2.0,5.0,,,,2713563.0,75431.0,79.63,79.63,79.76,79.76,79.27,79.27,76.31,76.31,100.0,100.0
51104,United Kingdom,GBR,,,NAT_TOTAL,20210105,3.0,1.0,"Education closed for all devolved nations at all levels    England enters lockdown on Tuesday 5 January. All schools are closed, except for the children of essential workers, despite all students having attended school on Monday 4th.     Colleges, primary (reception onwards) and secondary schools will remain open for vulnerable children and the children of critical workers. All other children will learn remotely until February half term    Universities- Those students who are undertaking training and study for the specific courses should return to face to face learning as planned and be tested twice, upon arrival or self-isolate for ten days, best fit for universities is a 3 code due to widespread closure.      https://web.archive.org/web/20210106100514/https://www.gov.uk/guidance/national-lockdown-stay-at-home",3.0,1.0,"Non-essential businesses closed across all 4 devolved nations- 3G        Scots are to be ordered to stay at home amid a fresh Covid-19 lockdown on 5 January. These are the toughest restrictions Scotland has faced since the lockdown of March 2020.  Non essential workplaces closed and people must work from home if possible.    These rules will apply across the Scottish mainland until at least the end of January, and will be kept under review.    https://web.archive.org/web/20210104154939/https://www.bbc.com/news/uk-scotland-55531069      England enters lockdown on Tuesday 5 January.       To reduce social contact, the regulations require some businesses to close and impose restrictions on how some businesses provide goods and services    https://web.archive.org/web/20210106100514/https://www.gov.uk/guidance/national-lockdown-stay-at-home    Wales has been in lockdown with the requirement to close non-essential businesses since 20 December:    All non-essential retail, close contact services, gyms and leisure centres and hospitality closed at ""end of trading"" on Saturday Dec 19.     http://web.archive.org/web/20201221233510/https://www.telegraph.co.uk/news/2020/12/21/wales-lockdown-rules-travel-england-christmas-covid-when-end/    Northern Ireland closed nonessential businesses on 26 December:    From midnight 26 December Northern Ireland enters a national lockdown for 6 weeks. Non essential businesses must close (with a few exceptions, but dominant trend is closure of non-essential)      https://web.archive.org/web/20201224145053/https://www.health-ni.gov.uk/sites/default/files/publications/health/covid-regs-amdt-no-24.pdf ",2.0,1.0,,4.0,1.0,,1.0,1.0,,2.0,1.0,"All devolved nations are under stay at home orders    Scots are to be ordered to stay at home amid a fresh Covid-19 lockdown on 5 January. These are the toughest restrictions Scotland has faced since the lockdown of March 2020.      The new rules - which will be put down in law - mean Scots will only be allowed to leave home for essential purposes, such as shopping for food and medicine, exercise and caring responsibilities.    No limit is to be put on how many times people can go out to exercise, but outdoor meetings are to be limited to a maximum of two people from two households.      These rules will apply across the Scottish mainland until at least the end of January, and will be kept under review.    https://web.archive.org/web/20",2.0,1.0,"All four nations are under 'lockdown' restrictions which prevents travel in all four nations. While in Northern Ireland Apart from the stay at home requirement, other restrictions on travel remain guidance (not requirements), the dominant tendency seems to be that people cannot travel to other devolved nations, or within their nation, so coded as a 2G to represent dominant tendency    https://web.archive.org/web/20210106092408/https://www.bbc.com/news/uk-northern-ireland-54117810",3.0,,2.0,1.0,,2.0,,6265344302.0,"Chancellor announces one-off top up grants for retail, hospitality and leisure businesses worth up to £9,000 per property to help businesses through to the Spring, £594 million discretionary fund also made available to support other impacted businesses. The cash is provided on a per-property basis to support businesses through the latest restrictions, and is expected to benefit over 600,000 business properties, worth £4 billion in total across all nations of the UK.  GBP4.6b = USD6,265,344,302 (GBP1 = USD1.362031)  Link -  https://web.archive.org/web/20210112060711/https://www.gov.uk/government/news/46-billion-in-new-lockdown-grants-to-support-businesses-and-protect-jobs",0.0,,2.0,1.0,,2.0,,1.0,,0.0,,0.0,,3.0,1.0,,3.0,1.0,,3.0,1.0,,,,1.0,,1.0,,80+ yrs,80+ yrs,0.0,0.0,0.0,2.0,5.0,,,,2774479.0,76305.0,87.96,87.96,91.67,91.67,83.96,83.96,81.67,81.67,100.0,100.0
51105,United Kingdom,GBR,,,NAT_TOTAL,20210106,3.0,1.0,,3.0,1.0,,2.0,1.0,,4.0,1.0,,1.0,1.0,,2.0,1.0,,2.0,1.0,,3.0,,2.0,1.0,,2.0,,0.0,,0.0,,2.0,1.0,,2.0,,1.0,,0.0,,0.0,,3.0,1.0,,3.0,1.0,,3.0,1.0,,,,1.0,,1.0,,80+ yrs,80+ yrs,0.0,0.0,0.0,2.0,5.0,,,,2836801.0,77346.0,87.96,87.96,91.67,91.67,83.96,83.96,81.67,81.67,100.0,100.0
51106,United Kingdom,GBR,,,NAT_TOTAL,20210107,3.0,1.0,,3.0,1.0,,2.0,1.0,,4.0,1.0,,1.0,1.0,,2.0,1.0,,2.0,1.0,,3.0,,2.0,1.0,,2.0,,0.0,,0.0,,2.0,1.0,,2.0,,1.0,,0.0,,0.0,,3.0,1.0,,3.0,1.0,,3.0,1.0,,,,1.0,,1.0,,80+ yrs,80+ yrs,0.0,0.0,0.0,2.0,5.0,,,,2889419.0,78508.0,87.96,87.96,91.67,91.67,83.96,83.96,81.67,81.67,100.0,100.0
51107,United Kingdom,GBR,,,NAT_TOTAL,20210108,3.0,1.0,,3.0,1.0,,2.0,1.0,,4.0,1.0,,1.0,1.0,,2.0,1.0,,2.0,1.0,,3.0,Covid-19: Travellers to UK will need to show negative test result https://web.archive.org/web/20210108163843/https://www.bbc.com/news/uk-55582116,2.0,1.0,,2.0,,0.0,,0.0,,2.0,1.0,,2.0,,1.0,,0.0,,0.0,,3.0,1.0,,3.0,1.0,"COVID-19: UK approves use of Moderna's coronavirus vaccine and orders 10m more doses- though it wont be available until March, so the 3G code here comes from previously announced vaccination policies     https://web.archive.org/web/20210108164127/https://news.sky.com/story/covid-19-uk-approves-use-of-modernas-coronavirus-vaccine-12150649",3.0,1.0,,,,1.0,,1.0,,80+ yrs,80+ yrs,0.0,0.0,0.0,2.0,5.0,,,,2957472.0,79833.0,87.96,87.96,91.67,91.67,83.96,83.96,81.67,81.67,100.0,100.0
51108,United Kingdom,GBR,,,NAT_TOTAL,20210109,3.0,1.0,,3.0,1.0,,2.0,1.0,,4.0,1.0,"England, Scotland - up to 2 people from 2 separate households  Wales - only those within the same household or support bubble may meet  NI - up to 6 people from 2 households    Links -  https://web.archive.org/web/20210112050131/https://www.nidirect.gov.uk/articles/coronavirus-covid-19-regulations-guidance-what-restrictions-mean-you?priority-taxon=774cee22-d896-44c1-a611-e3109cce8eae#toc-3  https://web.archive.org/web/20210112050150/https://www.gov.uk/guidance/national-lockdown-stay-at-home?priority-taxon=774cee22-d896-44c1-a611-e3109cce8eae#meeting-other-people  https://web.archive.org/web/20210111162048/https://www.gov.scot/publications/coronavirus-covid-19-stay-at-home-guidance/  https://web.archive.org/web/20210112050220/https://gov.wales/leaving-your-home-and-seeing-other-people-alert-level-4#section-58489",1.0,1.0,,2.0,1.0,,2.0,1.0,,3.0,travel restrictions extended to southern African countries from 4am Saturday 9 January (2021) to protect against the spread of a new COVID-19 variant initially detected in South Africa      https://web.archive.org/web/20210110180332/https://www.gov.uk/government/news/travel-restrictions-update-south-africa-ban-extended-israel-and-jerusalem-removed-from-travel-corridors-list,2.0,1.0,,2.0,,0.0,,0.0,,2.0,1.0,,2.0,,1.0,,0.0,,0.0,,3.0,1.0,,3.0,1.0,,3.0,1.0,,,,1.0,,1.0,,80+ yrs,80+ yrs,0.0,0.0,0.0,2.0,5.0,,,,3017409.0,80868.0,87.96,87.96,91.67,91.67,83.96,83.96,81.67,81.67,100.0,100.0
51109,United Kingdom,GBR,,,NAT_TOTAL,20210110,3.0,1.0,,3.0,1.0,,2.0,1.0,,4.0,1.0,,1.0,1.0,,2.0,1.0,,2.0,1.0,,3.0,,2.0,1.0,,2.0,"The government has quietly introduced a loophole to its eviction ban that waters down protections for people who lost their jobs during the pandemic.    Ministers on Friday announced that they were extending the ban on bailiff evictions that has been in place since the first lockdown in March, covering most tenants for another six weeks.    But the announcement did not mention a key change snuck out in legislation that will for the first time give landlords the power to evict people for not paying their rent during lockdown.      https://web.archive.org/web/20210115172832/https://www.independent.co.uk/news/uk/politics/eviction-ban-loophole-substantial-arrears-six-months-b1784836.html",0.0,,0.0,,2.0,1.0,,2.0,Plans to expand to asymptomatic testing announced but not yet implemented.   https://web.archive.org/web/20210111114502/https://www.gov.uk/government/news/asymptomatic-testing-to-be-rolled-out-across-the-country-starting-this-week,1.0,,0.0,,0.0,,3.0,1.0,,3.0,1.0,,3.0,1.0,,,,1.0,,1.0,,80+ yrs,80+ yrs,0.0,0.0,0.0,2.0,5.0,,,,3072349.0,81431.0,87.96,87.96,91.67,91.67,83.96,83.96,81.67,81.67,100.0,100.0
